"","TNJ_Uni_A","TNJ_Uni_V","TNJ_Bi_A","TNJ_Bi_V","TNJ_Bi","Pitch","RhythmV","RhythmA","SRT_A","SRT_V","SRT_B","LocalizationV","LocalizationA","SpeechA","SpeechAV","Corsi","LetterNumberSpan","Cancellation","Raven","WordMemory","Trail","Pcommon","sigmaU","sigmaD","AuditoryScore","VisualScore","PerceptualScore","CognitiveScore"
"49",-0.649735825159753,-0.582039602548847,-2.19691684602589,-0.46066042831228,-1.03994805855268,-1.24610061734083,-0.0726441334902233,-1.68245422721137,-1.48766787792138,-0.312843439736487,-1.83744423148813,-1.55160804698736,-0.383762841644084,-0.462400058189674,-0.9308381316476,0.980999278249635,NA,-0.755495530809549,0.316768563852527,-0.705376083872783,-2.59646278700179,0.979494,0.669874,0.526879,-7.64663823530331,-2.9797956510752,-13.5038261764193,-1.09394190422777
"50",0.485014066668551,-0.833436989565251,-0.098823249129193,-0.856113216087203,-0.232795712189775,-0.8764486787845,-1.53590453665044,-1.43062190657782,-0.639992426306056,-0.935178740109065,0.849104359239471,-0.279959326162455,-1.04386683303553,2.13860026912724,0.930838131647599,-1.8709780049091,NA,-2.41771141557493,-0.984925206732717,-0.132450531032881,0.221189984716629,0.430069,0.894072,0.441893,-3.60473902716454,-4.44059280857441,-7.42902318868926,-4.47522702660202
"51",0.485014066668551,0.172152558500366,-0.331944759895492,0.132518753350106,-0.0085867270889682,-0.599209724867249,1.63449300353003,-0.926957265310723,0.133644538695075,1.14025447442252,0.525284026664196,NA,0.551753135177402,2.13860026912724,2.7925143949428,0.0303401838633912,0.399197597693124,-0.587790978409791,0.642192006498837,1.29986335106688,1.34103194307187,0.480438,0.619979,0.460922,-0.687700009532436,3.07941878980302,2.90841607984581,4.57631655565523
"53",-1.78448571698806,-0.330642215532442,-0.098823249129193,0.52797154112503,-0.0534285241091294,0.324920121523589,-1.2920278027904,-1.17878958594427,0.128317656684112,0.657611769502982,0.266115255647724,0.503370248766845,-0.588595553819913,-0.462400058189674,-0.9308381316476,0.0303401838633912,0.399197597693124,-3.24455937761757,-0.0086548787937846,0.15401224538707,-1.1053232677714,0.81489,0.673985,0.416343,-3.19745632767373,0.0662835410720135,-2.91848605506312,-3.60050236111537
"56",-1.78448571698806,-1.83902653763087,-1.26443080296069,0.330245147237568,-0.905422667492194,-1.33851360197992,-1.04815106893037,-1.93428654784492,-1.10459762082246,0.605049918581144,-0.146091466982169,0.328031996029386,-0.258241131771711,2.13860026912724,0.930838131647599,-1.8709780049091,0.399197597693124,0.194226942126553,0.642192006498837,0.15401224538707,1.39351361233804,0.503027,1.105287,0.505518,-7.68455542236775,-1.62385054471314,-10.3599201015553,0.449488918444088
"57",0.201326593711475,-0.582039602548847,-0.098823249129193,-2.24019797329944,-1.129631652593,-1.61575255589717,-0.80427433507033,-1.17878958594427,-2.36708037658745,-1.8683712480772,-0.967244220655777,-0.989080865173555,0.114570083594345,2.13860026912724,0.310279377215866,0.0303401838633912,0.399197597693124,0.415897073630969,-1.31034864937903,-0.132450531032881,1.07053519574816,0.561046,1.210695,0.341314,-4.94454909025226,-6.48396402416937,-13.5253889876704,-0.287084948008558
"60",-0.0823608792456019,-0.0792448285160374,-0.798187781428091,0.132518753350106,-0.143112118149452,0.0938876599258796,-0.80427433507033,-0.423292624043625,-0.515802155502972,-0.145565401799563,-0.498758835631966,-1.37029316644073,-0.724303010867268,2.13860026912724,0.930838131647599,0.980999278249635,-0.231465645249204,0.336901623580758,-1.63577209202534,-0.705376083872783,0.0302582265457707,0.378265,1.264681,0.344409,-2.45005879116168,-2.26685897847656,-5.35878872341965,-0.323874787669334
"61",0.485014066668551,0.92634471954958,1.0667843047023,1.51660351056234,1.650559762657,0.879398029358092,1.63449300353003,0.83586897912412,0.723059426446159,-1.65781230663276,0.853561284264835,-1.07748878144131,-0.133277269135476,2.13860026912724,-0.310279377215867,1.93165837263588,-0.0512761472656814,0.425660222619264,1.61846233443777,2.73217723316663,0.326856459576367,0.086169,0.528254,0.207324,3.85684753716375,1.34214014556787,7.70310872965346,6.346402638378
"62",0.768701539625626,0.92634471954958,1.2999058154686,0.725697935012492,1.24698358947555,0.786985044719008,2.1222464712501,0.83586897912412,-0.605735212692054,-0.169424680096728,-0.494859734431055,0.366195145536125,-0.622370758693712,-0.462400058189674,0.310279377215866,1.93165837263588,0.84967134265193,1.32509410817049,1.61846233443777,1.58632612748683,-0.0624138638708166,0.672335,0.391247,0.157074,2.46335540755159,3.97105959125157,7.18653885384765,7.62149166259876
"63",0.768701539625626,-0.0792448285160374,1.0667843047023,-0.46066042831228,0.260464055032,-0.460590247908623,-0.316520867350259,0.0803720172234728,0.594265010573086,0.67676342301872,0.786970233513593,0.0450099561352729,-0.848274460158129,-0.462400058189674,-1.55139688607933,0.0303401838633912,-0.0512761472656814,-0.94628173948899,1.29303889179146,0.15401224538707,0.144178386641185,0.0238,0.849808,0.311368,1.20125816405774,-0.134652745024583,2.11403970757875,-1.07156345179208
