ps,SIFI_A_Acc,SIFI_V_Acc,SIFI_B_A_Acc,SIFI_B_V_Acc,SIFI_B_Acc,pitchSummaryAcc,ravenSummaryAcc,RhythmVAcc,RhythmAAcc,SRTA_median,SRTV_median,SRTB_median,SRTA_mean,SRTV_mean,SRTB_mean,SpeechAAcc,SpeechAVAcc,Noise,localizationDistV,localizationDistA,minRT,meanRT,medianRT,Corsi,lns_length,lns_hit,lns_miss,lns_hitRate,d2_hit,d2_miss,d2_FA,d2_CR,d2_hitRate,d2_faRate,d2_adjHitR,WordMemoryAcc
100,0.9166666666666666,0.8541666666666666,0.8055555555555556,0.6111111111111112,0.48333333333333334,0.5180722891566265,0.14285714285714285,0.4375,0.46875,0.2470862469635903,0.2725189509801566,0.2078270420897752,0.253148701218567,0.31121901099987587,0.23150424292343183,0.2,0.6,6.0,31.41071441285721,165.64285734857145,36.59649999999965,42.206439999962456,40.64069999981075,5.0,5.0,5.0,3.0,0.625,162.0,7.0,0.0,167.0,0.9585798816568047,0.0,0.9585798816568047,0.35
101,0.9791666666666666,0.9583333333333334,0.9722222222222222,0.9166666666666666,0.6777777777777778,0.6445783132530121,0.6428571428571429,0.8125,0.65625,0.35713772650342435,0.2707796770846471,0.4698809761321172,0.3904113365414863,0.2753357658395544,0.4536769618978724,0.0,0.5,6.0,15.892856892857266,89.57142876000003,20.94959999990462,25.890059999990456,24.404900000095367,7.0,6.0,8.0,2.0,0.8,145.0,15.0,3.0,157.0,0.90625,0.01875,0.8875,0.35
102,0.9583333333333334,0.7916666666666666,0.9722222222222222,0.6666666666666666,0.6222222222222222,0.8433734939759037,0.8571428571428571,0.875,0.71875,0.3238489649957046,0.2906653765821829,0.28674953943118453,0.34425983218631395,0.3012520940431083,0.3011821654935678,0.0,0.4,6.0,12.571428952857236,94.76785734857151,20.216700000047695,35.24457999997139,31.880099999904644,8.0,8.0,10.0,4.0,0.7142857142857143,161.0,39.0,1.0,199.0,0.805,0.005,0.8,0.25
103,0.8541666666666666,0.8333333333333334,0.9166666666666666,0.7222222222222222,0.5555555555555556,0.6144578313253012,0.5714285714285714,0.59375,0.46875,0.4002878859173506,0.26052811939734966,0.2879062658175826,0.4440330600622913,0.33637582881575717,0.7423332830296894,,,,,,29.178400000095365,36.058759999990464,34.360899999856954,6.0,6.0,7.0,3.0,0.7,119.0,25.0,5.0,139.0,0.8263888888888888,0.034722222222222224,0.7916666666666666,0.15
104,0.875,0.625,0.3333333333333333,0.4722222222222222,0.2777777777777778,0.4939759036144578,0.14285714285714285,0.5,0.5,7.591448049992323,,,7.591448049992323,,,0.0,0.2,6.0,663.3571428242857,708.5000000514286,45.869600000143066,89.69482000002861,63.600200000047664,2.0,4.0,2.0,4.0,0.3333333333333333,95.0,29.0,3.0,121.0,0.7661290322580645,0.024193548387096774,0.7419354838709677,
105,0.9583333333333334,0.9166666666666666,0.8611111111111112,0.6666666666666666,0.6333333333333333,0.891566265060241,0.35714285714285715,0.53125,0.65625,0.2779476025607437,0.3892182279378176,0.3413421160075813,0.29146717553958296,0.4191911653537924,0.351496878642075,0.0,0.2,6.0,22.01785727,621.8392856628572,29.35040000009576,36.373300000000015,32.323099999905025,7.0,4.0,2.0,4.0,0.3333333333333333,137.0,23.0,0.0,160.0,0.85625,0.0,0.85625,0.2
106,0.8958333333333334,0.8333333333333334,0.8055555555555556,0.6944444444444444,0.6222222222222222,0.8373493975903614,0.5,0.625,0.71875,0.2283067379612475,0.2522320745047182,0.2233838600805029,0.24559858324937517,0.2626923778171961,0.2308452479774132,0.0,0.4,6.0,34.482142889999956,277.8214285199998,22.824299999952927,26.971020000028876,27.18449999999939,7.0,8.0,10.0,4.0,0.7142857142857143,148.0,9.0,3.0,152.0,0.9426751592356688,0.01935483870967742,0.9233203205259913,0.2
107,0.7916666666666666,0.8958333333333334,0.8055555555555556,0.5555555555555556,0.45555555555555555,0.4819277108433735,0.14285714285714285,0.46875,0.53125,0.498737764544785,0.40874056052416563,0.5162945089396089,0.5047149053076282,0.7219396473642868,0.6193875711379123,0.0,0.0,6.0,35.12499987285714,172.6249999971428,22.041299999952315,32.27332000002861,33.17689999985694,6.0,6.0,7.0,3.0,0.7,132.0,28.0,6.0,154.0,0.825,0.0375,0.7875,0.0
108,0.8958333333333334,0.7291666666666666,0.5555555555555556,0.6111111111111112,0.43333333333333335,0.6626506024096386,0.35714285714285715,0.625,0.65625,0.3022420385386795,0.3844065589364618,0.203703039092943,0.3174550889370342,0.43986036604339324,0.38237146358005697,,,,,,27.48589999985694,50.553619999980924,40.775399999856944,6.0,4.0,2.0,4.0,0.3333333333333333,84.0,39.0,5.0,120.0,0.6829268292682927,0.04,0.6429268292682927,0.15
109,1.0,0.9375,0.8888888888888888,0.9166666666666666,0.7333333333333333,0.7469879518072289,0.5714285714285714,0.5625,0.5625,0.25616745545994485,0.3248908380046487,0.2563339745393023,0.27406581530813123,0.3399423866299912,0.2767725931480527,,,,,,24.914400000095355,29.936720000028608,28.47789999985696,7.0,8.0,9.0,5.0,0.6428571428571429,157.0,3.0,6.0,154.0,0.98125,0.0375,0.94375,0.75
110,0.8541666666666666,0.8333333333333334,0.8888888888888888,0.5277777777777778,0.46111111111111114,0.463855421686747,0.8571428571428571,0.4375,0.65625,0.3634259419050067,0.3314860430546105,0.2603997820988297,0.4275613862900408,0.3814354182766943,0.3134046968105914,,,,,,20.644599999904628,25.001800000000003,25.85460000014305,8.0,8.0,12.0,2.0,0.8571428571428571,123.0,13.0,2.0,134.0,0.9044117647058824,0.014705882352941176,0.8897058823529412,0.3
111,0.8541666666666666,0.7708333333333334,0.6944444444444444,0.5833333333333334,0.46111111111111114,0.7590361445783133,0.6428571428571429,0.625,0.5625,0.22935811500065023,0.2785836849361658,0.26870624301955104,0.25291754431867347,0.2880875401214921,0.2846852757191906,0.0,0.1,6.0,14.51785739285717,183.2499999657143,21.669599999904648,33.16176000003816,26.083700000047685,7.0,7.0,9.0,3.0,0.75,147.0,1.0,0.0,148.0,0.9932432432432432,0.0,0.9932432432432432,0.1
112,1.0,0.9375,0.8333333333333334,0.75,0.6388888888888888,0.5602409638554217,0.5714285714285714,0.71875,0.5625,0.26637119951192284,0.25842836347874254,0.2226504159625619,0.2837403882217283,0.26319605398457496,0.2412349064272411,0.0,0.2,6.0,19.750000018571416,25.857142902857117,23.4097999999523,30.13977999997138,26.083599999904635,7.0,6.0,8.0,2.0,0.8,152.0,8.0,1.0,159.0,0.95,0.00625,0.94375,0.3
113,0.8541666666666666,0.7291666666666666,0.8055555555555556,0.7222222222222222,0.6222222222222222,0.5542168674698795,0.5714285714285714,0.6875,0.8125,0.5327042071148753,0.3186173571739346,0.2684864704497158,0.5566680786587919,0.34571788892046446,0.29380027637816963,,,,,,22.533299999952305,37.06998000001907,27.05770000004766,5.0,4.0,3.0,3.0,0.5,127.0,30.0,1.0,154.0,0.8089171974522293,0.0064516129032258064,0.8024655845490035,0.55
114,0.9791666666666666,0.9166666666666666,0.8888888888888888,0.9166666666666666,0.5222222222222223,0.8192771084337349,0.7142857142857143,0.8125,0.8125,0.20091067999601359,0.259395441506058,0.18051493656821546,0.23442248826225598,0.27728283845353874,0.1918902684080725,0.0,0.4,6.0,41.58928584142854,112.25000010857141,24.954599999904616,35.80301999998092,28.648799999952303,7.0,5.0,6.0,2.0,0.75,134.0,11.0,3.0,140.0,0.9241379310344827,0.02097902097902098,0.9031589100554618,0.05
115,0.8333333333333334,0.8125,0.9444444444444444,0.7777777777777778,0.5611111111111111,0.8674698795180723,0.7857142857142857,0.4375,0.65625,0.1968120969831943,0.2798236169619486,0.2091414909809827,0.1996982437397899,0.3055035026960208,0.23133735961666138,,,,,,28.031599999904614,37.77102000002861,33.44789999985696,6.0,4.0,2.0,4.0,0.3333333333333333,144.0,7.0,0.0,153.0,0.9536423841059603,0.0,0.9536423841059603,0.35
116,1.0,0.6458333333333334,0.8055555555555556,0.5,0.49444444444444446,0.8674698795180723,0.8571428571428571,0.5,0.53125,0.2031730145681649,0.2502848448930308,0.18383246893063185,0.2107159602378184,0.26259885527348764,0.19392943453664582,0.0,0.3,6.0,6.785714304285565,77.64285720285709,19.856399999858695,26.871839999911025,27.523700000048848,7.0,10.0,16.0,2.0,0.8888888888888888,132.0,6.0,3.0,131.0,0.9565217391304348,0.022388059701492536,0.9341336794289423,0.1
117,0.9583333333333334,0.9375,0.9722222222222222,0.8611111111111112,0.6555555555555556,0.6385542168674698,0.9285714285714286,0.46875,0.625,0.2122412590542808,0.3088183815125376,0.1782310534035787,0.223726831159244,0.3164723544863851,0.19504136575075484,,,,,,30.21650000000227,65.0417800000192,36.32120000004579,9.0,7.0,10.0,2.0,0.8333333333333334,152.0,11.0,0.0,165.0,0.9325153374233128,0.0,0.9325153374233128,0.2
118,0.9166666666666666,0.9166666666666666,0.8611111111111112,0.75,0.5833333333333334,0.6024096385542169,0.7857142857142857,0.46875,0.65625,0.2177399275824427,0.2789867690298706,0.1762036399450153,0.23574927318841213,0.3363125231036724,0.18410171765095454,,,,,,20.20590000009537,25.881180000066752,21.81060000014304,8.0,7.0,8.0,4.0,0.6666666666666666,156.0,4.0,1.0,159.0,0.975,0.00625,0.96875,0.25
