targetSpeakerName,targetSpeakerEccen,targetSpkrChannel,targetSpkrSound,targetVisualDegrees,visStimLoc,visStimLoc2,visStimW,visStimH,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,audLocalLoop.thisRepN,audLocalLoop.thisTrialN,audLocalLoop.thisN,audLocalLoop.thisIndex,visualLocalLoop.thisRepN,visualLocalLoop.thisTrialN,visualLocalLoop.thisN,visualLocalLoop.thisIndex,letsGoAlready.keys,letsGoAlready.rt,letsGoAlready.started,letsGoAlready.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,stretchBreakTxrt.started,stretchBreakTxrt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,letsGoLocal.keys,letsGoLocal.rt,letsGoLocal.started,letsGoLocal.stopped,text_4.started,text_4.stopped,prepFixTxt.started,prepFixTxt.stopped,prepFixTxt_2.started,prepFixTxt_2.stopped,respPromptLocal.started,respPromptLocal.stopped,slider.response,slider.rt,slider.started,slider.stopped,letsGoLocal_2.keys,letsGoLocal_2.rt,letsGoLocal_2.started,letsGoLocal_2.stopped,text_7.started,text_7.stopped,prepFixTxt_3.started,prepFixTxt_3.stopped,grating.started,grating.stopped,exitTxt.started,exitTxt.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
nearLeft,-6.5,1,ch1Sound_localizationTask.wav,-6.5,"(857, 878)","(-103,-202)",-95,-338,,,,,,,,,5,4,39,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.90369255999985,None,176.0032141659999,None,176.93679463299986,None,1.4978835978835978,0.9157281200000398,176.93679463299986,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
farLeft,-19.1,5,ch1Sound_localizationTask.wav,-19.1,"(667, 878)","(-293,-202)",-285,-338,,,,,,,,,5,5,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.85354046800012,None,178.95330520100015,None,179.88671038199982,None,1.2301587301587302,0.6991818520000379,179.88671038199982,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
farRight,19.1,4,ch1Sound_localizationTask.wav,19.1,"(1237, 878)","(277,-202)",285,-338,,,,,,,,,5,6,41,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.5868496600001,None,181.68674095999995,None,182.61997793299997,None,1.7063492063492063,0.7164988130002712,182.61997793299997,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
midRight,13.0,3,ch1Sound_localizationTask.wav,13.0,"(1142, 878)","(182, -202)",190,-338,,,,,,,,,6,0,42,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.33700864999992,None,184.4366788540001,None,185.36987937699996,None,1.502116402116402,0.4827968150002562,185.36987937699996,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
farRight,19.1,4,ch1Sound_localizationTask.wav,19.1,"(1237, 878)","(277,-202)",285,-338,,,,,,,,,6,1,43,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.85350127499987,None,186.95328426200012,None,187.88671273799991,None,1.7190476190476192,0.3991350829996918,187.88671273799991,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
farLeft,-19.1,5,ch1Sound_localizationTask.wav,-19.1,"(667, 878)","(-293,-202)",-285,-338,,,,,,,,,6,2,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.28677411299986,None,189.38676972099984,None,190.32007976399973,None,1.1365079365079365,0.58293212999979,190.32007976399973,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
nearRight,6.5,0,ch1Sound_localizationTask.wav,6.5,"(1047, 878)","(87, -202)",95,-338,,,,,,,,,6,3,45,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.90368334100003,None,192.0033340509999,None,192.93677945599984,None,1.8433862433862434,1.3162040799998067,192.93677945599984,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
midRight,13.0,3,ch1Sound_localizationTask.wav,13.0,"(1142, 878)","(182, -202)",190,-338,,,,,,,,,6,4,46,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.25362793299973,None,195.35347567600002,None,196.28671320700005,None,1.7687830687830688,0.46583718800002316,196.28671320700005,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
nearLeft,-6.5,1,ch1Sound_localizationTask.wav,-6.5,"(857, 878)","(-103,-202)",-95,-338,,,,,,,,,6,5,47,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.75346896099973,None,197.8533236610001,None,198.78662689700013,None,1.4417989417989419,0.6665907830001743,198.78662689700013,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
center,0.0,6,ch1Sound_localizationTask.wav,0.0,"(952, 878)","(-8,-202)",0,-338,,,,,,,,,6,6,48,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.45350647799978,None,200.55346828099982,None,201.4866957989998,None,1.506878306878307,0.9157226639999863,201.4866957989998,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
