targetSpeakerName,targetSpeakerEccen,targetSpkrChannel,targetSpkrSound,targetVisualDegrees,visStimLoc,visStimLoc2,visStimW,visStimH,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,audLocalLoop.thisRepN,audLocalLoop.thisTrialN,audLocalLoop.thisN,audLocalLoop.thisIndex,visualLocalLoop.thisRepN,visualLocalLoop.thisTrialN,visualLocalLoop.thisN,visualLocalLoop.thisIndex,letsGoAlready.keys,letsGoAlready.rt,letsGoAlready.started,letsGoAlready.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,stretchBreakTxrt.started,stretchBreakTxrt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,letsGoLocal.keys,letsGoLocal.rt,letsGoLocal.started,letsGoLocal.stopped,text_4.started,text_4.stopped,prepFixTxt.started,prepFixTxt.stopped,prepFixTxt_2.started,prepFixTxt_2.stopped,respPromptLocal.started,respPromptLocal.stopped,slider.response,slider.rt,slider.started,slider.stopped,letsGoLocal_2.keys,letsGoLocal_2.rt,letsGoLocal_2.started,letsGoLocal_2.stopped,text_7.started,text_7.stopped,prepFixTxt_3.started,prepFixTxt_3.stopped,grating.started,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
farRight,19.1,4,ch1Sound_localizationTask.wav,19.1,"(1237, 878)","(277,-202)",285,-338,,,,,,,,,2,5,19,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.78386784205213,None,125.883612471167,None,126.81707977876067,None,1.7952380952380953,0.8826602031476796,126.81707977876067,None,,,,,,,,,,,130,001,2023_Nov_07_1233,Localization_IfspeechCrashes,2021.2.3,60.000299458955226,
nearLeft,-6.5,1,ch1Sound_localizationTask.wav,-6.5,"(857, 878)","(-103,-202)",-95,-338,,,,,,,,,2,6,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.70058061508462,None,128.80042486917228,None,129.7336988397874,None,1.2550264550264552,0.9153406280092895,129.7336988397874,None,,,,,,,,,,,130,001,2023_Nov_07_1233,Localization_IfspeechCrashes,2021.2.3,60.000299458955226,
center,0.0,6,ch1Sound_localizationTask.wav,0.0,"(952, 878)","(-8,-202)",0,-338,,,,,,,,,3,0,21,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.65052328491583,None,131.7504265778698,None,132.68356843711808,None,1.3243386243386244,0.5986714917235076,132.68356843711808,None,,,,,,,,,,,130,001,2023_Nov_07_1233,Localization_IfspeechCrashes,2021.2.3,60.000299458955226,
center,0.0,6,ch1Sound_localizationTask.wav,0.0,"(952, 878)","(-8,-202)",0,-338,,,,,,,,,3,1,22,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.283894225955,None,134.38388023898005,None,135.3169101900421,None,1.3931216931216932,0.7319948631338775,135.3169101900421,None,,,,,,,,,,,130,001,2023_Nov_07_1233,Localization_IfspeechCrashes,2021.2.3,60.000299458955226,
nearLeft,-6.5,1,ch1Sound_localizationTask.wav,-6.5,"(857, 878)","(-103,-202)",-95,-338,,,,,,,,,3,2,23,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.0505407648161,None,137.15040279505774,None,138.08349476801232,None,1.3100529100529101,0.5495809530839324,138.08349476801232,None,,,,,,,,,,,130,001,2023_Nov_07_1233,Localization_IfspeechCrashes,2021.2.3,60.000299458955226,
nearLeft,-6.5,1,ch1Sound_localizationTask.wav,-6.5,"(857, 878)","(-103,-202)",-95,-338,,,,,,,,,3,3,24,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.63389718485996,None,139.733840493951,None,140.66697145393118,None,1.1804232804232804,0.6160577381961048,140.66697145393118,None,,,,,,,,,,,130,001,2023_Nov_07_1233,Localization_IfspeechCrashes,2021.2.3,60.000299458955226,
nearLeft,-6.5,1,ch1Sound_localizationTask.wav,-6.5,"(857, 878)","(-103,-202)",-95,-338,,,,,,,,,3,4,25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.28389126202092,None,142.38375085499138,None,143.3170485110022,None,1.2232804232804233,0.41618407936766744,143.3170485110022,None,,,,,,,,,,,130,001,2023_Nov_07_1233,Localization_IfspeechCrashes,2021.2.3,60.000299458955226,
midRight,13.0,3,ch1Sound_localizationTask.wav,13.0,"(1142, 878)","(182, -202)",190,-338,,,,,,,,,3,5,26,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.73389859404415,None,144.83378088474274,None,145.76689878106117,None,1.7185185185185186,0.7658737418241799,145.76689878106117,None,,,,,,,,,,,130,001,2023_Nov_07_1233,Localization_IfspeechCrashes,2021.2.3,60.000299458955226,
farLeft,-19.1,5,ch1Sound_localizationTask.wav,-19.1,"(667, 878)","(-293,-202)",-285,-338,,,,,,,,,3,6,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.53391411481425,None,147.63378300191835,None,148.5670292447321,None,1.2153439153439154,1.1492495466955006,148.5670292447321,None,,,,,,,,,,,130,001,2023_Nov_07_1233,Localization_IfspeechCrashes,2021.2.3,60.000299458955226,
nearRight,6.5,0,ch1Sound_localizationTask.wav,6.5,"(1047, 878)","(87, -202)",95,-338,,,,,,,,,4,0,28,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.71730737993494,None,150.81727767083794,None,151.75042086606845,None,1.5576719576719578,0.7991337017156184,151.75042086606845,None,,,,,,,,,,,130,001,2023_Nov_07_1233,Localization_IfspeechCrashes,2021.2.3,60.000299458955226,
