Audio_Only_Files,Video_Files,Original_Word_List,noiseLevelCode,conditionCodes,noiseLevelFile1,noiseLevelFile2
beam.wav,beam.mpg,beam,3,AV,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav
tomb.wav,tomb.mpg,tomb,5,AV,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav
fix.wav,fix.mpg,fix,2,AV,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav
creep.wav,creep.mpg,creep,3,AV,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav
squat.wav,squat.mpg,squat,6,AV,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav
cheek.wav,cheek.mpg,cheek,6,AV,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav
wind.wav,wind.mpg,wind,6,AV,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav
cap.wav,cap.mpg,cap,6,AV,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav
choir.wav,choir.mpg,choir,5,AV,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav
bull.wav,bull.mpg,bull,4,AV,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav
blunt.wav,blunt.mpg,blunt,2,AV,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav
wet.wav,wet.mpg,wet,4,AV,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav
coin.wav,coin.mpg,coin,3,AV,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav
flow.wav,flow.mpg,flow,3,AV,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav
beach.wav,beach.mpg,beach,5,AV,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav
fresh.wav,fresh.mpg,fresh,2,AV,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav
