Audio_Only_Files,Video_Files,Original_Word_List,noiseLevelCode,conditionCodes,noiseLevelFile1,noiseLevelFile2,InstrTextVar,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,letsGoAlready.keys,letsGoAlready.rt,letsGoAlready.started,letsGoAlready.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_5.started,text_5.stopped,fixCross.started,fixCross.stopped,fixCross2.started,fixCross2.stopped,answerPrompt.started,answerPrompt.stopped,getAnswer.text,getAnswer.started,getAnswer.stopped,goToNext.keys,goToNext.rt,goToNext.started,goToNext.stopped,stretchBreakTxrt.started,stretchBreakTxrt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,exitTxt.started,exitTxt.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
brawl.wav,brawl.mpg,brawl,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav,,,,,,0,48,48,48,,,,,,,,,,,,,,,351.78689404699253,None,353.3030262920074,None,354.68730104801944,None,"dog
",354.68730104801944,None,return,1.1678173569962382,354.77054513501935,None,,,,,,,,,,,,,2,001,2022_Nov_21_1646,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.97697052522312,
tomb.wav,tomb.mpg,tomb,2,AV,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav,,,,,,0,49,49,62,,,,,,,,,,,,,,,355.9704922849778,None,357.4699352600146,None,358.85329398099566,None,two,358.85329398099566,None,return,1.192969074996654,358.93739192403154,None,,,,,,,,,,,,,2,001,2022_Nov_21_1646,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.97697052522312,
funk.wav,funk.mpg,funk,5,A,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav,,,,,,0,50,50,45,,,,,,,,,,,,,,,360.15353218797827,None,361.68741360201966,None,363.07010915799765,None,funk,363.07010915799765,None,return,2.249210754991509,363.1533344180207,None,,,,,,,,,,,,,2,001,2022_Nov_21_1646,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.97697052522312,
eat.wav,eat.mpg,eat,4,A,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav,,,,,,0,51,51,4,,,,,,,,,,,,,,,365.42024988197954,None,366.9200723519898,None,368.3037189299939,None,beat,368.3037189299939,None,return,1.9431760589941405,368.38721724500647,None,,,,,,,,,,,,,2,001,2022_Nov_21_1646,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.97697052522312,
buzz.wav,buzz.mpg,buzz,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav,,,,,,0,52,52,3,,,,,,,,,,,,,,,370.35408862802433,None,371.85371329600457,None,373.2371590110124,None,nice,373.2371590110124,None,return,1.7141228480031714,373.32035701099085,None,,,,,,,,,,,,,2,001,2022_Nov_21_1646,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.97697052522312,
chief.wav,chief.mpg,chief,1,AV,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,,,,,,0,53,53,74,,,,,,,,,,,,,,,375.0539463299792,None,376.5538874199847,None,377.9366950200056,None,"chief
",377.9366950200056,None,return,3.7020193400094286,378.02034296898637,None,,,,,,,,,,,,,2,001,2022_Nov_21_1646,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.97697052522312,
dad.wav,dad.mpg,dad,2,AV,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav,,,,,,0,54,54,103,,,,,,,,,,,,,,,381.7533862409764,None,383.3030071639805,None,384.6866644730326,None,"dad
",384.6866644730326,None,return,1.73586127004819,384.77050979202613,None,,,,,,,,,,,,,2,001,2022_Nov_21_1646,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.97697052522312,
bound.wav,bound.mpg,bound,2,AV,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav,,,,,,0,55,55,87,,,,,,,,,,,,,,,386.536398643977,None,388.0539519320009,None,389.43714799400186,None,found,389.43714799400186,None,return,1.8982854670030065,389.5201621709857,None,,,,,,,,,,,,,2,001,2022_Nov_21_1646,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.97697052522312,
ease.wav,ease.mpg,ease,5,A,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav,,,,,,0,56,56,15,,,,,,,,,,,,,,,391.43702643201686,None,392.93686792597873,None,394.3202588140266,None,"wait
",394.3202588140266,None,return,7.902564947959036,394.40379819099326,None,,,,,,,,,,,,,2,001,2022_Nov_21_1646,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.97697052522312,
ball.wav,ball.mpg,ball,4,A,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav,,,,,,0,57,57,53,,,,,,,,,,,,,,,402.3370108270319,None,403.86984179198043,None,405.2537337730173,None,fog,405.2537337730173,None,return,1.3936544599710032,405.3367086520302,None,,,,,,,,,,,,,2,001,2022_Nov_21_1646,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.97697052522312,
