targetSpeakerName,targetSpeakerEccen,targetSpkrChannel,targetSpkrSound,targetVisualDegrees,visStimLoc,visStimLoc2,visStimW,visStimH,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,audLocalLoop.thisRepN,audLocalLoop.thisTrialN,audLocalLoop.thisN,audLocalLoop.thisIndex,visualLocalLoop.thisRepN,visualLocalLoop.thisTrialN,visualLocalLoop.thisN,visualLocalLoop.thisIndex,letsGoAlready.keys,letsGoAlready.rt,letsGoAlready.started,letsGoAlready.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,stretchBreakTxrt.started,stretchBreakTxrt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,letsGoLocal.keys,letsGoLocal.rt,letsGoLocal.started,letsGoLocal.stopped,text_4.started,text_4.stopped,prepFixTxt.started,prepFixTxt.stopped,prepFixTxt_2.started,prepFixTxt_2.stopped,respPromptLocal.started,respPromptLocal.stopped,slider.response,slider.rt,slider.started,slider.stopped,letsGoLocal_2.keys,letsGoLocal_2.rt,letsGoLocal_2.started,letsGoLocal_2.stopped,text_7.started,text_7.stopped,prepFixTxt_3.started,prepFixTxt_3.stopped,grating.started,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
center,0.0,6,ch1Sound_localizationTask.wav,0.0,"(952, 878)","(-8,-202)",0,-338,,,,,,,,,2,5,19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.270928583,None,109.37070496400008,None,110.3040000950001,None,1.4973544973544972,0.9323627690000649,110.3040000950001,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
midLeft,-13.0,2,ch1Sound_localizationTask.wav,-13.0,"(762, 878)","(-198,-202)",-190,-338,,,,,,,,,2,6,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.23751042000015,None,112.33726111299995,None,113.27073481100012,None,1.2825396825396824,1.000298106999935,113.27073481100012,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
midRight,13.0,3,ch1Sound_localizationTask.wav,13.0,"(1142, 878)","(182, -202)",190,-338,,,,,,,,,3,0,21,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.27170633399999,None,115.37065013900008,None,116.30413383899997,None,1.6746031746031746,1.0661985159999858,116.30413383899997,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
farLeft,-19.1,5,ch1Sound_localizationTask.wav,-19.1,"(667, 878)","(-293,-202)",-285,-338,,,,,,,,,3,1,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.37095730900012,None,118.47062982900013,None,119.40390617800006,None,1.228042328042328,1.0497669320000114,119.40390617800006,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
farRight,19.1,4,ch1Sound_localizationTask.wav,19.1,"(1237, 878)","(277,-202)",285,-338,,,,,,,,,3,2,23,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.47110372899999,None,121.57080239100003,None,122.50394797499996,None,1.6862433862433863,1.2320323379999536,122.50394797499996,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
center,0.0,6,ch1Sound_localizationTask.wav,0.0,"(952, 878)","(-8,-202)",0,-338,,,,,,,,,3,3,24,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.7373859810001,None,124.83738576500002,None,125.77053162799996,None,1.48994708994709,0.7658700009999393,125.77053162799996,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
midRight,13.0,3,ch1Sound_localizationTask.wav,13.0,"(1142, 878)","(182, -202)",190,-338,,,,,,,,,3,4,25,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.53765801099996,None,127.63758868900015,None,128.570604978,None,1.5687830687830688,0.6505431370001133,128.570604978,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
farRight,19.1,4,ch1Sound_localizationTask.wav,19.1,"(1237, 878)","(277,-202)",285,-338,,,,,,,,,3,5,26,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.22196677600016,None,130.33749632299998,None,131.25398549199997,None,1.6142857142857143,0.664891721999993,131.25398549199997,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
nearRight,6.5,0,ch1Sound_localizationTask.wav,6.5,"(1047, 878)","(87, -202)",95,-338,,,,,,,,,3,6,27,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.92079728200008,None,133.020765783,None,133.95403263800006,None,1.4936507936507937,0.6671416189999491,133.95403263800006,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
nearLeft,-6.5,1,ch1Sound_localizationTask.wav,-6.5,"(857, 878)","(-103,-202)",-95,-338,,,,,,,,,4,0,28,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.6375547460001,None,135.7372539040001,None,136.67078067499995,None,1.4116402116402116,0.7002223940000931,136.67078067499995,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
midLeft,-13.0,2,ch1Sound_localizationTask.wav,-13.0,"(762, 878)","(-198,-202)",-190,-338,,,,,,,,,4,1,29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.37187740499996,None,138.47098511599995,None,139.40397473099995,None,1.3761904761904762,0.7334147520000442,139.40397473099995,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
center,0.0,6,ch1Sound_localizationTask.wav,0.0,"(952, 878)","(-8,-202)",0,-338,,,,,,,,,4,2,30,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.13774845499995,None,141.23743949200014,None,142.17089517400007,None,1.5010582010582012,0.5996327190000557,142.17089517400007,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
farRight,19.1,4,ch1Sound_localizationTask.wav,19.1,"(1237, 878)","(277,-202)",285,-338,,,,,,,,,4,3,31,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.7876151050001,None,143.88741468900014,None,144.820699622,None,1.6142857142857143,0.6003682180000851,144.820699622,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
nearLeft,-6.5,1,ch1Sound_localizationTask.wav,-6.5,"(857, 878)","(-103,-202)",-95,-338,,,,,,,,,4,4,32,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.43750696900008,None,146.53724424100017,None,147.47083205599995,None,1.3608465608465607,0.7007740229998944,147.47083205599995,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
nearLeft,-6.5,1,ch1Sound_localizationTask.wav,-6.5,"(857, 878)","(-103,-202)",-95,-338,,,,,,,,,4,5,33,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.18756844400002,None,149.28737791900005,None,150.22092048399998,None,1.4878306878306877,0.4853418810000676,150.22092048399998,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
farRight,19.1,4,ch1Sound_localizationTask.wav,19.1,"(1237, 878)","(277,-202)",285,-338,,,,,,,,,4,6,34,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.7208574990001,None,151.82067250000011,None,152.75442500300016,None,1.5814814814814815,0.5826063819999945,152.75442500300016,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
midLeft,-13.0,2,ch1Sound_localizationTask.wav,-13.0,"(762, 878)","(-198,-202)",-190,-338,,,,,,,,,5,0,35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.35429592100002,None,154.45408640300013,None,155.387347966,None,1.3756613756613758,0.8182479439999497,155.387347966,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
nearRight,6.5,0,ch1Sound_localizationTask.wav,6.5,"(1047, 878)","(87, -202)",95,-338,,,,,,,,,5,1,36,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.2209815970001,None,157.32073639600014,None,158.25411730000008,None,1.5047619047619047,0.61644957600015,158.25411730000008,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
farLeft,-19.1,5,ch1Sound_localizationTask.wav,-19.1,"(667, 878)","(-293,-202)",-285,-338,,,,,,,,,5,2,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.8712290730001,None,159.970805693,None,160.90391910999995,None,1.3285714285714285,0.9170599490000768,160.90391910999995,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
nearLeft,-6.5,1,ch1Sound_localizationTask.wav,-6.5,"(857, 878)","(-103,-202)",-95,-338,,,,,,,,,5,3,38,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.83762528700015,None,162.93734678900012,None,163.87071413499996,None,1.4973544973544972,0.48268841499998416,163.87071413499996,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
midRight,13.0,3,ch1Sound_localizationTask.wav,13.0,"(1142, 878)","(182, -202)",190,-338,,,,,,,,,5,4,39,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.35422643100003,None,165.453981193,None,166.38738753500013,None,1.5587301587301587,0.5496585539999614,166.38738753500013,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
center,0.0,6,ch1Sound_localizationTask.wav,0.0,"(952, 878)","(-8,-202)",0,-338,,,,,,,,,5,5,40,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.93758547100003,None,168.03752940900006,None,168.97066272900008,None,1.4904761904761905,0.616360024999949,168.97066272900008,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
nearLeft,-6.5,1,ch1Sound_localizationTask.wav,-6.5,"(857, 878)","(-103,-202)",-95,-338,,,,,,,,,5,6,41,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.60422726800005,None,170.70412353100016,None,171.63753678499995,None,1.4730158730158731,0.5993815379999887,171.63753678499995,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
nearRight,6.5,0,ch1Sound_localizationTask.wav,6.5,"(1047, 878)","(87, -202)",95,-338,,,,,,,,,6,0,42,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.23756065300006,None,173.33742743899995,None,174.27070544100013,None,1.5666666666666667,0.5327341949998754,174.27070544100013,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
farRight,19.1,4,ch1Sound_localizationTask.wav,19.1,"(1237, 878)","(277,-202)",285,-338,,,,,,,,,6,1,43,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.80432238900005,None,175.90405970500012,None,176.83738822400016,None,1.701058201058201,0.7164726020000671,176.83738822400016,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
nearRight,6.5,0,ch1Sound_localizationTask.wav,6.5,"(1047, 878)","(87, -202)",95,-338,,,,,,,,,6,2,44,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.55411780400016,None,178.65420234400005,None,179.58729265199997,None,1.5201058201058202,0.4987486939999144,179.58729265199997,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
farLeft,-19.1,5,ch1Sound_localizationTask.wav,-19.1,"(667, 878)","(-293,-202)",-285,-338,,,,,,,,,6,3,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.08757668500004,None,181.18750797500013,None,182.12065183800007,None,1.2449735449735448,1.0327149180000106,182.12065183800007,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
midLeft,-13.0,2,ch1Sound_localizationTask.wav,-13.0,"(762, 878)","(-198,-202)",-190,-338,,,,,,,,,6,4,46,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.17114174899996,None,184.27071574800004,None,185.20422997799994,None,1.3883597883597885,0.4497342319998552,185.20422997799994,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
nearRight,6.5,0,ch1Sound_localizationTask.wav,6.5,"(1047, 878)","(87, -202)",95,-338,,,,,,,,,6,5,47,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.65476810300004,None,186.75444935400003,None,187.68748266399996,None,1.5613756613756613,0.8324781440001061,187.68748266399996,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
center,0.0,6,ch1Sound_localizationTask.wav,0.0,"(952, 878)","(-8,-202)",0,-338,,,,,,,,,6,6,48,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.52097414900015,None,189.62077452300002,None,190.55397591899998,None,1.4804232804232804,0.6997000810001737,190.55397591899998,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
midLeft,-13.0,2,ch1Sound_localizationTask.wav,-13.0,"(762, 878)","(-198,-202)",-190,-338,,,,,,,,,7,0,49,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.25468473700005,None,192.354298052,None,193.28757686300003,None,1.2984126984126985,0.9841545310000583,193.28757686300003,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
