File Name,pcommon,sigmaU,sigmaD,sigmap,mup,Error,BIC
Processed_103_SIFI_BisenBlock_clean,0.882481,0.732571,0.329717,0.77542,1.112011,171.4494117,368.8636076
Processed_104_SIFI_BisenBlock_clean,0.945467,0.940503,0.644494,1.906318,3.300607,447.1231374,920.211059
Processed_105_SIFI_BisenBlock_clean,0.698119,0.552422,0.323141,0.88579,1.122789,143.8311683,313.6271209
Processed_106_SIFI_BisenBlock_clean,0.545569,0.778972,0.360716,0.883896,1.834233,189.9067486,405.7782815
Processed_107_SIFI_BisenBlock_clean,0.597912,1.80816,0.598693,2.19171,0.251569,286.3534603,598.6717048
Processed_108_SIFI_BisenBlock_clean,0.572616,1.155813,0.787586,2.644848,2.987944,374.8218277,775.6084397
Processed_109_SIFI_BisenBlock_clean,0.10818,0.606003,0.359761,2.304698,0.82612,156.6516877,339.2681597
Processed_110_SIFI_BisenBlock_clean,0.722514,0.63453,0.396002,1.546909,3.46948,261.4288669,548.822518
Processed_111_SIFI_BisenBlock_clean,0.519088,1.319863,0.71835,2.993142,3.000093,353.8597805,733.6843452
Processed_112_SIFI_BisenBlock_clean,0.471794,0.90976,0.282475,1.214693,1.310926,177.3323864,380.6295571
Processed_113_SIFI_BisenBlock_clean,0.229414,0.63032,0.517068,2.54638,0.826291,215.1629072,456.2905986
Processed_114_SIFI_BisenBlock_clean,0.986667,0.629603,0.303534,0.802336,1.9638,129.2513564,284.467497
Processed_115_SIFI_BisenBlock_clean,0.631759,0.865208,0.380323,2.212842,0.064777,218.6377867,463.2403576
Processed_116_SIFI_BisenBlock_clean,0.199744,1.070881,0.539344,0.951977,0.945591,257.8552187,541.6752216
Processed_117_SIFI_BisenBlock_clean,0.649066,0.900837,0.236531,1.131772,1.196928,116.1350294,258.2348431
Processed_118_SIFI_BisenBlock_clean,0.883582,0.68044,0.338859,1.929417,0.166982,152.9410316,331.8468475
Processed_119_SIFI_BisenBlock_clean,0.545041,0.615364,0.361975,0.967552,1.214267,146.1298707,318.2245256
Processed_120_SIFI_BisenBlock_clean,0.276037,1.902309,0.300372,1.046392,0.823157,132.7757081,291.5162004
Processed_121_SIFI_BisenBlock_clean,0.629422,1.213256,0.338442,2.333235,0.649552,173.9154663,373.7957169
Processed_122_SIFI_BisenBlock_clean,0.655381,0.850812,0.416346,2.315443,1.688324,184.8999076,395.7645995
Processed_123_SIFI_BisenBlock_clean,0.823437,1.249281,0.365213,1.979589,3.424427,163.1066662,352.1781167
Processed_124_SIFI_BisenBlock_clean,0.015539,0.485445,0.344817,2.139144,0.83017,125.9368285,277.8384412
Processed_125_SIFI_BisenBlock_clean,0.261621,0.587934,0.321907,0.537485,1.286141,118.6127165,263.1902172
Processed_126_SIFI_BisenBlock_clean,0.988331,0.825651,0.400127,2.899472,2.654806,293.2671446,612.4990735
Processed_127_SIFI_BisenBlock_clean,0.954951,0.66956,0.439423,1.214185,2.719967,186.0379326,398.0406495
Processed_128_SIFI_BisenBlock_clean,0.243104,0.521384,0.594936,1.643047,3.49545,246.392714,518.7502122
Processed_129_SIFI_BisenBlock_clean,0.826833,1.216999,0.434396,1.175704,2.412488,209.1241132,444.2130107
Processed_130_SIFI_BisenBlock_clean,0.763862,1.187786,0.625378,2.730127,3.489963,224.1714002,474.3075847
Processed_131_SIFI_BisenBlock_clean,0.999241,1.005366,0.771547,2.625841,1.519335,380.723223,787.4112303
Processed_132_SIFI_BisenBlock_clean,0.566158,0.936662,0.246199,1.3861,0.031393,173.2402621,372.4453085
Processed_133_SIFI_BisenBlock_clean,0.61025,0.547782,0.263046,0.712037,1.568978,92.97808055,211.9209454
Processed_134_SIFI_BisenBlock_clean,0.400533,0.692939,0.360135,2.046482,0.234295,189.5240838,405.0129519
Processed_135_SIFI_BisenBlock_clean,0.438422,0.989593,0.351993,1.044418,0.207879,147.2473523,320.4594889
Processed_136_SIFI_BisenBlock_clean,0.72534,1.161109,0.437765,0.678859,1.114456,168.0910726,362.1469294
Processed_137_SIFI_BisenBlock_clean,0.599822,0.476521,0.265682,0.759386,1.663004,112.6909793,251.3467429
Processed_138_SIFI_BisenBlock_clean,0.93901,1.229191,0.842963,0.995872,1.560993,339.9094886,705.7837615
Processed_139_SIFI_BisenBlock_clean,0.282902,0.667726,0.411728,2.315604,1.61171,172.3640486,370.6928814
Processed_140_SIFI_BisenBlock_clean,0.993911,0.650581,0.371555,0.682708,1.455102,165.0026808,355.9701459
Processed_141_SIFI_BisenBlock_clean,0.697017,1.099632,0.35871,0.844294,1.795941,157.4628785,340.8905412
Processed_142_SIFI_BisenBlock_clean,0.792276,0.8668,0.461069,0.975784,1.027118,228.6650864,483.294957
Processed_143_SIFI_BisenBlock_clean,0.995234,0.808082,0.525676,0.964649,1.781389,368.0460281,762.0568405
Processed_144_SIFI_BisenBlock_clean,0.373612,1.025773,0.396603,1.634534,0.015085,231.9417971,489.8483784
Processed_145_SIFI_BisenBlock_clean,0.223761,0.821813,0.240369,1.241778,0.02212,136.974643,299.9140703
Processed_146_SIFI_BisenBlock_clean,0.476198,0.425141,0.196329,0.931363,0.79846,78.96343383,183.8916519
Processed_147_SIFI_BisenBlock_clean,0.487235,1.200849,0.496793,1.481329,0.042109,280.7801356,587.5250555
Processed_148_SIFI_BisenBlock_clean,0.237902,0.7852,1.44749,1.602103,3.429545,228.6756373,483.3160589
Processed_149_SIFI_BisenBlock_clean,0.499819,0.886979,0.503225,0.951655,0.739945,194.4734445,414.9116732
Processed_150_SIFI_BisenBlock_clean,0.938843,0.77388,0.697013,1.41708,3.422959,516.4650755,1058.894935
Processed_151_SIFI_BisenBlock_clean,0.139294,0.757731,0.219357,0.865865,0.794953,108.9778951,243.9205744
Processed_152_SIFI_BisenBlock_clean,0.782341,1.299771,0.34447,1.236639,0.047956,199.1063143,424.1774129
Processed_153_SIFI_BisenBlock_clean,0.531406,0.675974,0.257045,0.78646,1.823987,108.9742222,243.9132286
Processed_154_SIFI_BisenBlock_clean,0.371491,1.081404,0.258526,1.111547,0.718506,145.0938957,316.1525756
Processed_155_SIFI_BisenBlock_clean,0.666946,0.780268,0.236052,1.886405,0.528879,102.5376815,231.0401472
Processed_156_SIFI_BisenBlock_clean,0.983396,0.733887,0.422362,1.12168,0.77783,193.3858719,412.7365281
Processed_157_SIFI_BisenBlock_clean,0.381411,0.446386,0.32275,1.098582,0.551615,162.9669769,351.8987381
Processed_158_SIFI_BisenBlock_clean,0.507741,0.552834,0.285371,1.179961,1.252476,135.2430909,296.4509661
Processed_159_SIFI_BisenBlock_clean,0.40105,0.564835,0.194638,1.667115,2.70317,94.78515722,215.5350987
Processed_160_SIFI_BisenBlock_clean,0.407477,1.206647,0.814286,1.813219,0.051226,290.9250431,607.8148705
Processed_161_SIFI_BisenBlock_clean,0.556879,0.359426,0.173286,0.739639,1.081171,60.1698837,146.3045517
Processed_162_SIFI_BisenBlock_clean,0.537598,0.5473,0.277192,1.290628,0.55999,119.4114106,264.7876054
Processed_163_SIFI_BisenBlock_clean,0.862444,1.653999,1.377567,1.875547,2.293854,621.7986397,1269.562064
Processed_164_SIFI_BisenBlock_clean,0.337341,0.957547,0.262684,1.227997,0.825097,132.1691799,290.303144
Processed_165_SIFI_BisenBlock_clean,0.65016,0.648296,0.336668,0.963272,1.080913,159.6731224,345.311029
Processed_166_SIFI_BisenBlock_clean,0.063991,0.771882,0.35889,1.026899,0.953321,186.0484108,398.0616058
Processed_167_SIFI_BisenBlock_clean,0.399233,0.445494,0.17128,0.565051,1.394869,71.68856623,169.3419167
Processed_168_SIFI_BisenBlock_clean,0.346748,0.613276,0.396088,2.846656,0.845335,209.8973226,445.7594294
Processed_169_SIFI_BisenBlock_clean,0.612662,0.627329,0.649652,1.818046,3.066187,343.5112139,712.9872121
Processed_170_SIFI_BisenBlock_clean,0.442182,0.804056,0.454877,2.047173,0.619277,190.9948885,407.9545612
Processed_171_SIFI_BisenBlock_clean,0.769748,0.566308,0.324737,1.206482,0.790524,140.1507934,306.2663711
Processed_172_SIFI_BisenBlock_clean,0.001719,1.46078,0.332038,1.622691,0.008767,175.1217731,376.2083305
Processed_173_SIFI_BisenBlock_clean,0.006358,1.235654,0.479383,1.786415,0.043845,233.5625144,493.0898131
Processed_174_SIFI_BisenBlock_clean,0.300299,1.176199,0.340628,1.406378,0.105415,163.7584517,353.4816877
Processed_175_SIFI_BisenBlock_clean,0.4624,2.880239,1.514754,1.315892,2.826489,388.5640195,803.0928232
